Sample,Time(S),CH1(V),CH2(V)
391,-0.001209,-0.101709,1.45884
392,-0.001208,-0.101709,1.46188
393,-0.001207,-0.0986729,1.46795
394,-0.001206,-0.100191,1.47402
395,-0.001205,-0.100191,1.47858
396,-0.001204,-0.100191,1.48313
397,-0.001203,-0.101709,1.4892
398,-0.001202,-0.0986729,1.49527
399,-0.001201,-0.100191,1.49983
400,-0.0012,-0.100191,1.5059
401,-0.001199,-0.100191,1.51045
402,-0.001198,-0.100191,1.51349
403,-0.001197,-0.100191,1.51956
404,-0.001196,-0.101709,1.52563
405,-0.001195,-0.0986729,1.52867
406,-0.001194,-0.100191,1.53322
407,-0.001193,-0.100191,1.53778
408,-0.001192,-0.101709,1.54233
409,-0.001191,-0.101709,1.54841
410,-0.00119,-0.100191,1.55144
411,-0.001189,-0.100191,1.556
412,-0.001188,-0.101709,1.55903
413,-0.001187,-0.101709,1.56662
414,-0.001186,-0.100191,1.56966
415,-0.001185,-0.100191,1.57421
416,-0.001184,-0.100191,1.57725
417,-0.001183,-0.100191,1.5818
418,-0.001182,-0.100191,1.58484
419,-0.001181,-0.0986729,1.59091
420,-0.00118,-0.101709,1.59243
421,-0.001179,-0.100191,1.5985
422,-0.001178,-0.0971548,1.60154
423,-0.001177,-0.0971548,1.60457
424,-0.001176,-0.0956368,1.60609
425,-0.001175,-0.0986729,1.61065
426,-0.001174,-0.0986729,1.61368
427,-0.001173,-0.0956368,1.61672
428,-0.001172,-0.0971548,1.61975
429,-0.001171,-0.0971548,1.62279
430,-0.00117,-0.0956368,1.62583
431,-0.001169,-0.0986729,1.62734
432,-0.001168,-0.0971548,1.63038
433,-0.001167,-0.0971548,1.63493
434,-0.001166,-0.0971548,1.63645
435,-0.001165,-0.0971548,1.63949
436,-0.001164,-0.0971548,1.64101
437,-0.001163,-0.0956368,1.64404
438,-0.001162,-0.0986729,1.64708
439,-0.001161,-0.0971548,1.6486
440,-0.00116,-0.0971548,1.65163
441,-0.001159,-0.0971548,1.65315
442,-0.001158,-0.0971548,1.6577
443,-0.001157,-0.0956368,1.66074
444,-0.001156,-0.100191,1.66226
445,-0.001155,-0.0956368,1.66378
446,-0.001154,-0.0956368,1.66681
447,-0.001153,-0.0986729,1.66833
448,-0.001152,-0.0986729,1.67137
449,-0.001151,-0.0956368,1.67288
450,-0.00115,-0.0971548,1.67592
451,-0.001149,-0.0971548,1.67896
452,-0.001148,-0.0971548,1.68047
453,-0.001147,-0.0971548,1.68199
454,-0.001146,-0.0926007,1.68503
455,-0.001145,-0.0926007,1.68655
456,-0.001144,-0.0956368,1.68807
457,-0.001143,-0.0910827,1.68807
458,-0.001142,-0.0926007,1.68958
459,-0.001141,-0.0926007,1.68958
460,-0.00114,-0.0910827,1.69262
461,-0.001139,-0.0971548,1.69414
462,-0.001138,-0.0910827,1.69414
463,-0.001137,-0.0926007,1.69414
464,-0.001136,-0.0895646,1.69717
465,-0.001135,-0.0910827,1.69566
466,-0.001134,-0.0910827,1.69869
467,-0.001133,-0.0880466,1.69869
468,-0.001132,-0.0910827,1.69869
469,-0.001131,-0.0895646,1.69869
470,-0.00113,-0.0880466,1.69869
471,-0.001129,-0.0910827,1.70173
472,-0.001128,-0.0910827,1.69869
473,-0.001127,-0.0880466,1.70325
474,-0.001126,-0.0895646,1.70325
475,-0.001125,-0.0880466,1.70325
476,-0.001124,-0.0910827,1.70325
477,-0.001123,-0.0910827,1.70325
478,-0.001122,-0.0910827,1.70476
479,-0.001121,-0.0910827,1.70476
480,-0.00112,-0.0880466,1.70476
481,-0.001119,-0.0895646,1.70628
482,-0.001118,-0.0850105,1.70628
483,-0.001117,-0.0865285,1.70476
484,-0.001116,-0.0865285,1.70476
485,-0.001115,-0.0865285,1.70476
486,-0.001114,-0.0850105,1.70476
487,-0.001113,-0.0880466,1.70325
488,-0.001112,-0.0850105,1.70325
489,-0.001111,-0.0834924,1.70325
490,-0.00111,-0.0834924,1.70173
491,-0.001109,-0.0834924,1.70173
492,-0.001108,-0.0834924,1.69869
493,-0.001107,-0.0834924,1.69869
494,-0.001106,-0.0834924,1.69717
495,-0.001105,-0.0834924,1.69414
496,-0.001104,-0.0850105,1.69414
497,-0.001103,-0.0834924,1.69414
498,-0.001102,-0.0834924,1.69262
499,-0.001101,-0.0834924,1.69262
500,-0.0011,-0.0834924,1.6911
501,-0.001099,-0.0834924,1.68958
502,-0.001098,-0.0804563,1.68958
503,-0.001097,-0.0804563,1.68655
504,-0.001096,-0.0804563,1.68503
505,-0.001095,-0.0804563,1.68503
506,-0.001094,-0.0804563,1.68351
507,-0.001093,-0.0804563,1.68047
508,-0.001092,-0.0774203,1.67896
509,-0.001091,-0.0774203,1.67592
510,-0.00109,-0.0774203,1.67288
511,-0.001089,-0.0774203,1.67137
512,-0.001088,-0.0774203,1.66833
513,-0.001087,-0.0774203,1.66681
514,-0.001086,-0.0774203,1.66529
515,-0.001085,-0.0774203,1.66226
516,-0.001084,-0.0774203,1.65922
517,-0.001083,-0.0774203,1.65922
518,-0.001082,-0.0774203,1.6577
519,-0.001081,-0.0774203,1.65315
520,-0.00108,-0.0728661,1.65163
521,-0.001079,-0.0743842,1.65011
522,-0.001078,-0.0728661,1.64404
523,-0.001077,-0.0728661,1.64404
524,-0.001076,-0.0728661,1.64101
525,-0.001075,-0.0728661,1.63797
526,-0.001074,-0.068312,1.63493
527,-0.001073,-0.068312,1.63038
528,-0.001072,-0.068312,1.62431
529,-0.001071,-0.068312,1.62431
530,-0.00107,-0.06983,1.62127
531,-0.001069,-0.0667939,1.61824
532,-0.001068,-0.068312,1.6152
533,-0.001067,-0.068312,1.61216
534,-0.001066,-0.068312,1.60761
535,-0.001065,-0.068312,1.60457
536,-0.001064,-0.0667939,1.60154
537,-0.001063,-0.0652759,1.59698
538,-0.001062,-0.0637579,1.59395
539,-0.001061,-0.0667939,1.58939
540,-0.00106,-0.0637579,1.58484
541,-0.001059,-0.0637579,1.5818
542,-0.001058,-0.0637579,1.57573
543,-0.001057,-0.0637579,1.57421
544,-0.001056,-0.0637579,1.56966
545,-0.001055,-0.0607218,1.56207
546,-0.001054,-0.0622398,1.56055
547,-0.001053,-0.0622398,1.556
548,-0.001052,-0.0622398,1.55296
549,-0.001051,-0.0622398,1.54689
550,-0.00105,-0.0637579,1.54537
551,-0.001049,-0.0576857,1.54081
552,-0.001048,-0.0592037,1.53474
553,-0.001047,-0.0592037,1.53019
554,-0.001046,-0.0592037,1.52563
555,-0.001045,-0.0592037,1.52108
556,-0.001044,-0.0561676,1.51501
557,-0.001043,-0.0561676,1.51045
558,-0.001042,-0.0561676,1.5059
559,-0.001041,-0.0561676,1.50135
560,-0.00104,-0.0561676,1.49527
561,-0.001039,-0.0561676,1.49072
562,-0.001038,-0.0561676,1.48617
563,-0.001037,-0.0561676,1.48009
564,-0.001036,-0.0561676,1.47554
565,-0.001035,-0.0516135,1.4725
566,-0.001034,-0.0531316,1.46491
567,-0.001033,-0.0516135,1.46036
568,-0.001032,-0.0531316,1.45429
569,-0.001031,-0.0485774,1.44973
570,-0.00103,-0.0485774,1.44062
571,-0.001029,-0.0485774,1.43759
572,-0.001028,-0.0485774,1.43152
573,-0.001027,-0.0485774,1.42393
574,-0.001026,-0.0485774,1.41937
575,-0.001025,-0.0485774,1.4133
576,-0.001024,-0.0485774,1.40875
577,-0.001023,-0.0455413,1.40115
578,-0.001022,-0.0425052,1.3966
579,-0.001021,-0.0440233,1.39053
580,-0.00102,-0.0440233,1.38294
581,-0.001019,-0.0440233,1.3799
582,-0.001018,-0.0409872,1.37231
583,-0.001017,-0.0409872,1.36472
584,-0.001016,-0.0409872,1.35865
585,-0.001015,-0.0409872,1.35106
586,-0.001014,-0.0409872,1.34499
587,-0.001013,-0.0409872,1.33892
588,-0.001012,-0.0409872,1.33132
589,-0.001011,-0.0409872,1.32525
590,-0.00101,-0.0379511,1.3207
591,-0.001009,-0.0379511,1.31159
592,-0.001008,-0.0379511,1.304
593,-0.001007,-0.034915,1.29793
594,-0.001006,-0.0379511,1.29186
595,-0.001005,-0.033397,1.28427
596,-0.001004,-0.034915,1.27819
597,-0.001003,-0.034915,1.26909
598,-0.001002,-0.034915,1.26149
599,-0.001001,-0.034915,1.25542
600,-0.001,-0.034915,1.24935
601,-0.000999,-0.033397,1.24024
602,-0.000998,-0.033397,1.23417
603,-0.000997,-0.0303609,1.22962
604,-0.000996,-0.0318789,1.22051
605,-0.000995,-0.0303609,1.21292
606,-0.000994,-0.0303609,1.20533
607,-0.000993,-0.0273248,1.19925
608,-0.000992,-0.0273248,1.19166
609,-0.000991,-0.0273248,1.18256
610,-0.00099,-0.0258068,1.17497
611,-0.000989,-0.0288428,1.16586
612,-0.000988,-0.0288428,1.15979
613,-0.000987,-0.0273248,1.1522
614,-0.000986,-0.0273248,1.14461
615,-0.000985,-0.0258068,1.13702
616,-0.000984,-0.0212526,1.12942
617,-0.000983,-0.0212526,1.1188
618,-0.000982,-0.0212526,1.11424
619,-0.000981,-0.0182165,1.1021
620,-0.00098,-0.0197346,1.09603
621,-0.000979,-0.0182165,1.08996
622,-0.000978,-0.0197346,1.08085
623,-0.000977,-0.0197346,1.07174
624,-0.000976,-0.0197346,1.06263
625,-0.000975,-0.0182165,1.05504
626,-0.000974,-0.0182165,1.04897
627,-0.000973,-0.0151804,1.03986
628,-0.000972,-0.0166985,1.03075
629,-0.000971,-0.0151804,1.02468
630,-0.00097,-0.0151804,1.01557
631,-0.000969,-0.0121444,1.00495
632,-0.000968,-0.0136624,0.995837
633,-0.000967,-0.0136624,0.985211
